source_code,source_name,rank,stock_cd,stock_nm,weight_rt
069500,KODEX 200,1,005930,삼성전자,31.66
069500,KODEX 200,2,000660,SK하이닉스,21.02
069500,KODEX 200,3,005380,현대차,2.30
069500,KODEX 200,4,402340,SK스퀘어,2.05
069500,KODEX 200,5,105560,KB금융,1.59
069500,KODEX 200,6,034020,두산에너빌리티,1.56
069500,KODEX 200,7,012450,한화에어로스페이스,1.40
069500,KODEX 200,8,009150,삼성전기,1.34
069500,KODEX 200,9,055550,신한지주,1.28
069500,KODEX 200,10,006400,삼성SDI,1.22
229200,KODEX 코스닥150,1,086520,에코프로,7.25
229200,KODEX 코스닥150,2,196170,알테오젠,6.81
229200,KODEX 코스닥150,3,247540,에코프로비엠,5.37
229200,KODEX 코스닥150,4,028300,HLB,3.32
229200,KODEX 코스닥150,5,000250,삼천당제약,3.00
229200,KODEX 코스닥150,6,298380,에이비엘바이오,2.92
229200,KODEX 코스닥150,7,058470,리노공업,2.66
229200,KODEX 코스닥150,8,087010,펩트론,2.47
229200,KODEX 코스닥150,9,141080,리가켐바이오,2.26
229200,KODEX 코스닥150,10,277810,레인보우로보틱스,2.11
